,Times,RSSI,POS
0,1764758712.6514523,"(15.434351921081543, 17.668148040771484, 258.39483642578125, 30.683603286743164)",3.2
1,1764758712.6514523,"(0.3096267879009247, 449.50701904296875, 24.184926986694336, 14.760046005249023)",49.5
2,1764758712.6514523,"(169.69171142578125, 1.9925730228424072, 0.31985822319984436, 9.929727554321289)",100.0
3,1764758712.6514523,"(28.47735023498535, 0.6426533460617065, 3.5906472206115723, 15.238997459411621)",150.2
4,1764758712.6514523,"(9.607068061828613, 11.699850082397461, 10.50763988494873, 2.086634635925293)",202.0
5,1764758712.6514523,"(3.2074356079101562, 15.810097694396973, 0.646513044834137, 31.685993194580078)",253.0
6,1764758712.6514523,"(5.626365661621094, 2.6861720085144043, 6.232237815856934, 73.23098754882812)",304.3
7,1764758712.6514523,"(29.57383155822754, 48.89514923095703, 92.58501434326172, 168.4137420654297)",355.8
