,Angles,Times,RSSI,POS
0,-0.03611026038608944,1764851653.270225,"(2819.3916015625, 16285.6513671875, 9543.421875, 12929.56640625)",232.2
1,-0.6860949473357019,1764851653.4746542,"(15033.2451171875, 14049.3583984375, 8887.90234375, 8953.6171875)",199.3
2,-0.03611026038608944,1764851653.6650386,"(11807.765625, 13311.404296875, 12830.05078125, 2480.49658203125)",143.2
3,0.036110260386089665,1764851653.8256562,"(9055.095703125, 13083.77734375, 13811.927734375, 9005.166015625)",90.8
4,0.6860949473357019,1764851653.9798326,"(4029.0625, 9741.998046875, 15197.009765625, 17528.322265625)",39.7
5,-0.758315468107881,1764851654.1411438,"(13005.6767578125, 9113.212890625, 5241.5078125, 6613.0625)",13.4
6,0.9027565096522394,1764851654.323044,"(11792.51171875, 3224.38232421875, 543.26416015625, 12824.05859375)",-0.8
7,-0.9027565096522393,1764851654.5131013,"(11768.41796875, 1315.21142578125, 4473.0126953125, 7834.3359375)",-2.0
8,0.8305359888800603,1764851654.6986253,"(8012.4453125, 1748.25634765625, 3367.37451171875, 9841.65625)",-6.7
9,0.6860949473357019,1764851654.8782136,"(9252.2734375, 1243.2288818359375, 5836.7451171875, 7720.68359375)",-5.5
10,-0.8305359888800602,1764851655.063971,"(10659.185546875, 2972.38037109375, 1661.5948486328125, 10167.8515625)",3.0
11,-0.8305359888800602,1764851655.2495115,"(13107.71875, 2759.96923828125, 762.0460205078125, 12393.625)",3.3
12,0.9027565096522394,1764851655.4417145,"(12511.494140625, 1315.53662109375, 1112.925537109375, 13668.263671875)",-5.7
13,0.9027565096522394,1764851655.6280894,"(12535.3671875, 2911.58837890625, 820.625244140625, 13656.90625)",-3.9
14,0.8305359888800603,1764851655.8172534,"(3053.8955078125, 6596.8642578125, 5101.02001953125, 11728.037109375)",5.4
15,0.7583154681078812,1764851655.9925604,"(13650.095703125, 3785.3173828125, 7908.15869140625, 13995.197265625)",15.2
16,0.8305359888800603,1764851656.1880512,"(2877.23779296875, 7519.2265625, 3989.65673828125, 13849.79296875)",27.0
17,0.6860949473357019,1764851656.376035,"(6995.4404296875, 5846.5029296875, 13536.81640625, 13164.7646484375)",38.0
18,-0.10833078115826866,1764851656.5575678,"(4617.37255859375, 14977.3779296875, 7286.359375, 12606.78515625)",47.4
19,-0.03611026038608944,1764851656.7362738,"(13954.1904296875, 14139.732421875, 12537.3935546875, 13382.859375)",51.2
20,-0.758315468107881,1764851656.9220688,"(13813.548828125, 6009.6181640625, 12208.962890625, 4632.7421875)",51.6
21,0.10833078115826877,1764851657.1155632,"(13484.4619140625, 2235.42919921875, 14281.423828125, 2976.4150390625)",47.6
22,0.036110260386089665,1764851657.305097,"(12631.625, 12913.45703125, 15781.275390625, 1105.654052734375)",46.1
