,Angles,Times,RSSI,POS
0,-0.252771822702627,1764581478.353683,"(1.9930905103683472, 12.565818786621094, 1.7114894390106201, 0.09749060869216919)",-19.3
1,-0.18055130193044788,1764581478.567306,"(1.6038891077041626, 10.718174934387207, 4.950536727905273, 0.5106688737869263)",-13.1
2,-0.3249923434748061,1764581478.780783,"(0.4093931317329407, 16.76955223083496, 0.23917455971240997, 0.02694574184715748)",-6.1
3,-0.3249923434748061,1764581478.9950562,"(0.2588847875595093, 14.476668357849121, 0.12718534469604492, 0.17493101954460144)",-5.5
4,-0.3249923434748061,1764581479.2227437,"(0.3534861207008362, 16.355201721191406, 0.2211408019065857, 0.16398467123508453)",-7.1
5,-0.3249923434748061,1764581479.4299111,"(0.7416368722915649, 17.059009552001953, 0.44598180055618286, 0.08388307690620422)",-9.4
6,-0.6860949473357019,1764581479.6796594,"(15.882948875427246, 15.711953163146973, 1.2414710521697998, 0.03265225887298584)",-12.8
7,-0.252771822702627,1764581479.863287,"(2.210947036743164, 14.494879722595215, 3.3044004440307617, 0.2802208662033081)",-16.5
8,-1.0471975511965976,1764581480.1447623,"(7.253761291503906, 0.8600661754608154, 0.7882224321365356, 0.7247565984725952)",-21.8
9,-0.5416539057913435,1764581480.3180661,"(5.324965476989746, 8.823606491088867, 0.963355302810669, 0.9316530823707581)",-27.0
10,0.252771822702627,1764581480.5139234,"(1.5126011371612549, 1.4414390325546265, 16.198545455932617, 1.2560298442840576)",-34.3
11,0.252771822702627,1764581480.7333362,"(1.2143540382385254, 0.5897189378738403, 16.4289493560791, 0.6230637431144714)",-35.7
12,0.252771822702627,1764581480.9488926,"(1.1957292556762695, 0.6400290727615356, 16.269031524658203, 0.7809988260269165)",-35.7
13,0.252771822702627,1764581481.166821,"(0.79388427734375, 0.3810253143310547, 14.268057823181152, 0.8333213329315186)",-34.1
14,0.3249923434748063,1764581481.3803494,"(1.117835521697998, 0.3607737421989441, 19.79013442993164, 1.2338993549346924)",-31.7
15,0.252771822702627,1764581481.5974717,"(1.5999388694763184, 1.5068764686584473, 23.313735961914062, 1.346922516822815)",-29.0
16,0.252771822702627,1764581481.821271,"(2.144334316253662, 3.732323408126831, 25.857280731201172, 1.5814298391342163)",-26.2
17,0.252771822702627,1764581482.0335279,"(2.6661195755004883, 5.426761150360107, 23.845134735107422, 1.4963151216506958)",-24.2
18,0.18055130193044788,1764581482.2574353,"(2.867133140563965, 8.037280082702637, 21.224323272705078, 1.5629868507385254)",-21.7
19,0.10833078115826877,1764581482.4705863,"(3.064570903778076, 10.591732025146484, 19.65792465209961, 1.3537464141845703)",-20.0
20,0.036110260386089665,1764581482.6837735,"(2.324059009552002, 10.039648056030273, 12.536746978759766, 1.1003170013427734)",-18.5
21,-0.03611026038608944,1764581482.9051762,"(2.188272476196289, 9.889996528625488, 7.898493766784668, 0.7657860517501831)",-17.7
22,-0.10833078115826866,1764581483.1177375,"(2.2059431076049805, 10.860929489135742, 6.526803493499756, 0.7409533262252808)",-17.3
23,-0.10833078115826866,1764581483.3387456,"(2.3252856731414795, 10.768574714660645, 7.4009222984313965, 0.6906258463859558)",-17.2
24,-0.03611026038608944,1764581483.5543866,"(2.633727550506592, 12.239377975463867, 9.498433113098145, 0.8253190517425537)",-17.8
25,-0.03611026038608944,1764581483.7684171,"(2.666025400161743, 12.089580535888672, 9.832754135131836, 0.9093363881111145)",-18.4
26,-0.03611026038608944,1764581483.9862483,"(2.550877094268799, 12.032784461975098, 10.299158096313477, 0.9060055017471313)",-19.0
27,-0.03611026038608944,1764581484.2103152,"(2.6812126636505127, 12.399044036865234, 9.815282821655273, 0.8550726175308228)",-19.6
28,-0.03611026038608944,1764581484.4277487,"(2.434328556060791, 11.083015441894531, 9.045937538146973, 0.7195209264755249)",-20.2
29,-0.03611026038608944,1764581484.6425955,"(2.71467661857605, 11.645515441894531, 9.57162094116211, 0.8658648729324341)",-20.4
30,-0.03611026038608944,1764581484.8551836,"(2.7030458450317383, 11.677279472351074, 10.480134963989258, 0.9050209522247314)",-20.6
31,-0.03611026038608944,1764581485.0732574,"(2.6676318645477295, 12.11020278930664, 9.69041633605957, 0.8603733777999878)",-21.0
32,-0.03611026038608944,1764581485.2909932,"(2.703245162963867, 12.205347061157227, 10.518424987792969, 0.938653826713562)",-21.5
33,-0.03611026038608944,1764581485.5105894,"(2.7329978942871094, 12.485551834106445, 10.992572784423828, 0.8949695825576782)",-21.9
34,-0.03611026038608944,1764581485.7275918,"(2.7136306762695312, 12.923494338989258, 11.143648147583008, 0.7723565697669983)",-22.2
35,-0.03611026038608944,1764581485.9415119,"(3.082221269607544, 11.862074851989746, 10.949295997619629, 0.9518322348594666)",-22.5
36,-0.03611026038608944,1764581486.1617935,"(3.1766817569732666, 11.636083602905273, 10.696551322937012, 1.0377514362335205)",-22.9
37,-0.03611026038608944,1764581486.3808346,"(3.3675436973571777, 12.58997917175293, 11.350214004516602, 1.0781452655792236)",-23.2
38,-0.03611026038608944,1764581486.5916588,"(3.2925620079040527, 12.810370445251465, 11.613801956176758, 1.0750367641448975)",-23.5
39,-0.03611026038608944,1764581486.8066325,"(2.823363780975342, 11.804733276367188, 11.321134567260742, 0.9917318820953369)",-23.9
40,-0.03611026038608944,1764581487.0312548,"(2.543789863586426, 10.925223350524902, 10.759918212890625, 0.9281344413757324)",-24.2
41,-0.03611026038608944,1764581487.2443929,"(2.550274610519409, 11.150884628295898, 10.062365531921387, 0.8983699679374695)",-24.5
42,-0.03611026038608944,1764581487.463793,"(2.8764352798461914, 14.330314636230469, 11.884486198425293, 1.046259880065918)",-24.9
43,-0.03611026038608944,1764581487.6818838,"(2.8420281410217285, 12.167067527770996, 10.743097305297852, 0.7999500632286072)",-25.2
44,-0.03611026038608944,1764581487.9003944,"(2.123793125152588, 11.56419849395752, 11.85450553894043, 0.9422036409378052)",-25.6
45,-0.03611026038608944,1764581488.1180396,"(2.3880324363708496, 9.169352531433105, 8.668985366821289, 0.7534418106079102)",-25.9
46,-0.03611026038608944,1764581488.3270533,"(2.175612449645996, 8.579277992248535, 8.846619606018066, 0.8237446546554565)",-26.2
47,0.036110260386089665,1764581488.5458868,"(2.0204036235809326, 7.477581024169922, 8.28512954711914, 0.7930947542190552)",-26.6
48,0.036110260386089665,1764581488.7688496,"(1.6032867431640625, 6.870090961456299, 7.080545425415039, 0.754560112953186)",-26.7
49,-0.03611026038608944,1764581488.9752052,"(1.5501874685287476, 5.842250347137451, 5.5133376121521, 0.5774134993553162)",-26.5
50,-0.03611026038608944,1764581489.2030792,"(1.4262906312942505, 5.716238498687744, 4.338250160217285, 0.5377182960510254)",-25.9
51,-0.10833078115826866,1764581489.4137015,"(1.342810869216919, 6.149971961975098, 4.460484027862549, 0.5518503189086914)",-26.1
52,-0.10833078115826866,1764581489.6265163,"(1.3826186656951904, 6.10011100769043, 4.090862274169922, 0.5363895893096924)",-26.4
53,-0.03611026038608944,1764581489.8487291,"(1.402571201324463, 4.981284141540527, 4.772400856018066, 0.5830280780792236)",-27.4
54,0.036110260386089665,1764581490.066839,"(1.6393176317214966, 5.138570785522461, 7.070077419281006, 0.7505725622177124)",-28.1
55,0.036110260386089665,1764581490.279233,"(1.4828286170959473, 4.765868186950684, 6.380370140075684, 0.7525599598884583)",-28.7
56,0.036110260386089665,1764581490.4992306,"(1.6419410705566406, 4.810426235198975, 6.952309608459473, 0.748554527759552)",-28.8
57,0.10833078115826877,1764581490.7128942,"(1.7189273834228516, 5.429712295532227, 8.007901191711426, 0.8219437003135681)",-28.3
58,0.10833078115826877,1764581490.9372754,"(1.836538314819336, 5.625184535980225, 8.342164993286133, 0.8866502046585083)",-27.6
59,0.10833078115826877,1764581491.1490448,"(1.7496823072433472, 5.016349792480469, 8.048526763916016, 0.727776050567627)",-27.1
60,0.10833078115826877,1764581491.3684888,"(1.472527265548706, 4.6864728927612305, 7.415994644165039, 0.7799684405326843)",-26.4
61,0.036110260386089665,1764581491.5850377,"(1.374168038368225, 4.7603654861450195, 5.630954742431641, 0.6876792907714844)",-25.4
62,-0.03611026038608944,1764581491.805568,"(1.2591581344604492, 5.008115768432617, 4.758767604827881, 0.5513637065887451)",-24.9
63,-0.10833078115826866,1764581492.019858,"(1.2738330364227295, 5.0799055099487305, 3.578005313873291, 0.4846339225769043)",-24.5
64,-0.03611026038608944,1764581492.2402017,"(1.4759184122085571, 5.98267936706543, 4.825675964355469, 0.5355272889137268)",-24.8
65,-0.03611026038608944,1764581492.4524255,"(1.537174940109253, 7.010229587554932, 5.313371658325195, 0.4968717694282532)",-25.3
66,-0.03611026038608944,1764581492.6702356,"(1.5717666149139404, 6.40785026550293, 4.71485710144043, 0.583785891532898)",-26.0
67,-0.10833078115826866,1764581492.881657,"(1.4551055431365967, 7.22802734375, 4.502548694610596, 0.6472516059875488)",-26.1
68,-0.10833078115826866,1764581493.1031566,"(1.3897932767868042, 6.024409294128418, 3.729722023010254, 0.4716991186141968)",-26.5
69,-0.10833078115826866,1764581493.326134,"(1.2434766292572021, 5.448376178741455, 2.5712332725524902, 0.31079286336898804)",-27.1
70,-0.10833078115826866,1764581493.5406432,"(1.2183468341827393, 5.517631530761719, 3.9661009311676025, 0.27137887477874756)",-27.9
71,-0.18055130193044788,1764581493.757317,"(1.0350000858306885, 5.432289123535156, 2.561337947845459, 0.09744395315647125)",-28.8
72,-0.18055130193044788,1764581493.9695892,"(0.6489991545677185, 4.21391487121582, 1.593543291091919, 0.07658103853464127)",-30.1
73,-0.18055130193044788,1764581494.1843202,"(0.7842727899551392, 4.169454574584961, 1.4163432121276855, 0.1068328395485878)",-31.6
74,-0.10833078115826866,1764581494.406577,"(0.7080851793289185, 3.904297351837158, 2.7132678031921387, 0.23122809827327728)",-33.2
75,-0.03611026038608944,1764581494.6263993,"(0.5023612976074219, 2.5166473388671875, 2.5582289695739746, 0.22703713178634644)",-34.6
76,0.036110260386089665,1764581494.8361688,"(0.5400631427764893, 2.2486863136291504, 3.0068774223327637, 0.28428882360458374)",-35.3
77,0.10833078115826877,1764581495.060062,"(0.7166038155555725, 3.0174028873443604, 5.154424667358398, 0.5290454626083374)",-35.8
78,0.10833078115826877,1764581495.275234,"(0.7658904194831848, 2.909071445465088, 5.649662971496582, 0.5389643907546997)",-35.9
79,0.18055130193044788,1764581495.4865513,"(0.8972573280334473, 3.0068039894104004, 6.830088138580322, 0.5844854116439819)",-35.3
80,0.18055130193044788,1764581495.7119923,"(1.0557959079742432, 3.321981430053711, 8.06479549407959, 0.6285810470581055)",-34.1
81,0.036110260386089665,1764581495.9247854,"(1.396951675415039, 5.298148155212402, 7.587777137756348, 0.6053215265274048)",-32.6
82,0.036110260386089665,1764581496.144507,"(1.6705961227416992, 7.013754844665527, 7.841838359832764, 0.5424529314041138)",-31.8
83,-0.03611026038608944,1764581496.3546522,"(1.3810579776763916, 7.245547294616699, 6.322651386260986, 0.4307260513305664)",-31.3
84,-0.03611026038608944,1764581496.5790496,"(1.3886290788650513, 7.2091827392578125, 7.124119758605957, 0.5009655952453613)",-30.9
85,-0.03611026038608944,1764581496.798761,"(1.0187938213348389, 7.253281116485596, 5.571810722351074, 0.5570685863494873)",-30.9
86,-0.03611026038608944,1764581497.013779,"(0.6276207566261292, 3.554206132888794, 3.007214069366455, 0.2893281579017639)",-30.9
87,0.18055130193044788,1764581497.2229648,"(0.3347777724266052, 1.3086516857147217, 4.115155220031738, 0.31955671310424805)",-31.3
88,0.036110260386089665,1764581497.438191,"(1.0633773803710938, 2.3447487354278564, 2.773017406463623, 0.37107187509536743)",-31.4
89,-0.03611026038608944,1764581497.658888,"(0.002452077344059944, 0.3526148796081543, 0.3213855028152466, 0.0544586256146431)",-30.7
90,-0.6860949473357019,1764581497.8748114,"(0.04413635656237602, 0.03303030878305435, 0.02210983633995056, 0.008612851612269878)",-30.1
91,-1.0471975511965976,1764581498.1663973,"(0.25064945220947266, 0.010692309588193893, 0.036428775638341904, 0.038255877792835236)",-33.4
92,-0.252771822702627,1764581498.3363085,"(0.015178817324340343, 0.13726378977298737, 0.0020324040669947863, 0.024330727756023407)",-39.2
93,0.6860949473357019,1764581498.7478826,"(0.016154926270246506, 0.020790813490748405, 0.05340714752674103, 0.06343131512403488)",-46.4
94,0.3249923434748063,1764581498.9623904,"(0.0070011490024626255, 0.006661692634224892, 0.2410830855369568, 0.004445548169314861)",-45.0
