,Angles,Times,RSSI,POS
0,-0.10833078115826866,1764853129.8767607,"(1134.453369140625, 3677.0107421875, 2154.015380859375, 603.98583984375)",0.1
1,-0.10833078115826866,1764853130.0919175,"(1275.6348876953125, 4147.83837890625, 2399.02001953125, 678.6376342773438)",-0.3
2,-0.03611026038608944,1764853130.3124409,"(819.3033447265625, 3135.55517578125, 2394.85205078125, 707.0205078125)",-1.5
3,-0.03611026038608944,1764853130.5227118,"(497.96728515625, 3002.67236328125, 2623.6572265625, 489.67095947265625)",-1.9
4,0.036110260386089665,1764853130.7441475,"(641.92236328125, 2464.69580078125, 3222.318359375, 378.11651611328125)",-2.4
5,0.036110260386089665,1764853130.9557016,"(1039.3665771484375, 2721.998046875, 3720.890625, 416.954833984375)",-2.4
6,0.10833078115826877,1764853131.1777291,"(581.0029296875, 2259.8662109375, 3598.09619140625, 403.9647216796875)",-2.4
7,0.18055130193044788,1764853131.3887208,"(354.07647705078125, 1916.73095703125, 4183.7333984375, 586.3966674804688)",-2.4
8,0.18055130193044788,1764853131.6075559,"(321.4436950683594, 1933.15673828125, 5322.4306640625, 628.3530883789062)",-1.7
9,-0.5416539057913435,1764853131.8535872,"(2494.200439453125, 4321.85986328125, 572.9443969726562, 584.4013061523438)",0.4
10,0.10833078115826877,1764853132.043632,"(625.0610961914062, 2580.6650390625, 3852.922119140625, 732.2955322265625)",-0.5
11,0.036110260386089665,1764853132.2620852,"(836.30615234375, 2718.71044921875, 3951.6171875, 441.56695556640625)",-0.8
12,0.036110260386089665,1764853132.4766636,"(772.765625, 2792.266357421875, 3826.2392578125, 377.93408203125)",-0.8
13,0.10833078115826877,1764853132.6967258,"(468.6600341796875, 2625.65966796875, 3880.295654296875, 422.31243896484375)",-0.8
14,0.036110260386089665,1764853132.9613926,"(2153.633056640625, 2747.472900390625, 3604.8291015625, 399.1353759765625)",-0.8
15,-0.5416539057913435,1764853133.1607058,"(3133.744140625, 4570.0361328125, 320.01080322265625, 288.660888671875)",-0.8
16,0.10833078115826877,1764853133.351225,"(210.87115478515625, 2911.84521484375, 5428.92626953125, 373.4412841796875)",-3.2
17,0.252771822702627,1764853133.5614023,"(116.19930267333984, 1357.737060546875, 5617.99560546875, 483.23541259765625)",-5.0
18,0.252771822702627,1764853133.7769604,"(114.72672271728516, 1942.788330078125, 6830.078125, 408.56402587890625)",-4.6
19,0.18055130193044788,1764853133.992705,"(156.9510498046875, 2766.31201171875, 6220.599609375, 600.9953002929688)",-2.6
