,rssi,corr,theta,timestamp
925,"(424.8883972167969, 1178.0933837890625, 540.8861694335938, 2199.613525390625)","(-0.9098989963531494, -0.9094725847244263, 0.9035756587982178, 0.9033908843994141)",-40.4,1765210969.944499
926,"(435.9664001464844, 1199.397705078125, 538.5549926757812, 2242.005615234375)","(-0.9119092226028442, -0.9115239381790161, 0.9051131010055542, 0.905271053314209)",-40.4,1765210970.1608977
927,"(446.18035888671875, 1142.20654296875, 566.9705200195312, 2211.8408203125)","(-0.9136175513267517, -0.9127752780914307, 0.907105565071106, 0.9067257046699524)",-40.4,1765210970.3761556
928,"(510.3763427734375, 1229.349853515625, 739.2606201171875, 2184.90234375)","(-0.9163918495178223, -0.9170387387275696, 0.9104995131492615, 0.9105757474899292)",-38.9,1765210970.814263
929,"(517.0641479492188, 1197.5640869140625, 766.3551025390625, 2180.44140625)","(-0.918333888053894, -0.9183571338653564, 0.9120869040489197, 0.9119817018508911)",-38.8,1765210971.0293794
930,"(517.8147583007812, 1186.0238037109375, 785.4957275390625, 2156.714599609375)","(-0.9204102754592896, -0.9198691248893738, 0.9139035940170288, 0.9138588905334473)",-38.8,1765210971.2458115
931,"(520.927978515625, 1232.36279296875, 742.3677978515625, 2222.69140625)","(-0.9221284985542297, -0.9221032857894897, 0.9152922630310059, 0.915820300579071)",-38.8,1765210971.4626517
932,"(532.8148193359375, 1212.447021484375, 778.115234375, 2144.530029296875)","(-0.9238081574440002, -0.9234221577644348, 0.9170488715171814, 0.9171856045722961)",-38.8,1765210971.6794972
933,"(554.1522216796875, 1181.663330078125, 818.7246704101562, 2119.064697265625)","(-0.924981415271759, -0.9251248240470886, 0.9189677834510803, 0.9189019203186035)",-38.8,1765210971.897346
934,"(516.9882202148438, 1163.6337890625, 771.6331176757812, 2122.318359375)","(-0.926885187625885, -0.9262373447418213, 0.9205633401870728, 0.9202410578727722)",-38.8,1765210972.1133497
935,"(538.9373779296875, 1160.201904296875, 775.2027587890625, 2110.15185546875)","(-0.9285521507263184, -0.9282926321029663, 0.9217015504837036, 0.9220520853996277)",-38.8,1765210972.3313613
936,"(508.45159912109375, 1170.53173828125, 820.7453002929688, 2050.5908203125)","(-0.9299911856651306, -0.9291349053382874, 0.9865783452987671, 0.9233896732330322)",-38.8,1765210972.5468187
937,"(520.1493530273438, 1160.9688720703125, 777.854248046875, 2061.781494140625)","(-0.9314513206481934, -0.9311476349830627, 0.9250831007957458, 0.9252591729164124)",-38.8,1765210972.7643902
938,"(494.530029296875, 1237.9298095703125, 747.3526611328125, 2174.538330078125)","(-0.9326251745223999, -0.9325745701789856, 0.926986575126648, 0.9266104698181152)",-38.8,1765210972.9827135
939,"(510.7020568847656, 1170.60791015625, 769.2832641601562, 2075.413818359375)","(-0.9346383213996887, -0.9344581961631775, 0.9280815720558167, 0.9282259345054626)",-38.8,1765210973.1981373
940,"(549.0528564453125, 1194.213134765625, 780.956787109375, 2086.14208984375)","(-0.9364106059074402, -0.935977578163147, 0.9293102622032166, 0.9296624064445496)",-38.8,1765210973.4159503
941,"(519.8158569335938, 1158.311767578125, 786.751953125, 2233.44677734375)","(-0.9376013278961182, -0.9367358684539795, 0.9313057065010071, 0.9607391357421875)",-38.8,1765210973.6318862
942,"(531.3515625, 1158.91650390625, 781.3096313476562, 2064.3603515625)","(-0.9392024874687195, -0.9389450550079346, 0.9323576092720032, 0.9326837062835693)",-38.8,1765210973.8501499
943,"(543.5997314453125, 1114.6435546875, 821.436279296875, 2033.92822265625)","(-0.9988058805465698, -0.9398332238197327, 0.9340595006942749, 0.9338869452476501)",-38.8,1765210974.0675619
944,"(524.4224243164062, 1171.1353759765625, 782.21826171875, 2062.745849609375)","(-0.9412174224853516, -0.941388726234436, 0.9354687333106995, 0.9351740479469299)",-38.8,1765210974.2830627
945,"(504.5555419921875, 1227.152587890625, 798.7203369140625, 2120.435791015625)","(-0.9436962604522705, -0.9435204267501831, 0.936551570892334, 0.9369729161262512)",-38.8,1765210974.5012867
946,"(515.272705078125, 1182.18212890625, 771.63427734375, 2154.588134765625)","(-0.9440434575080872, -0.9437628984451294, 0.9384409189224243, 0.9378405213356018)",-38.8,1765210974.716783
947,"(516.2706909179688, 1177.743408203125, 773.306640625, 2133.771484375)","(-0.9460908770561218, -0.9460499286651611, 0.9394436478614807, 0.9397917985916138)",-38.8,1765210974.935823
948,"(495.5416564941406, 1119.2926025390625, 736.1974487304688, 2225.8984375)","(-0.946980357170105, -0.9464912414550781, 0.9411924481391907, 0.992419421672821)",-38.8,1765210975.1528003
949,"(532.32470703125, 1194.3988037109375, 774.7430419921875, 2098.96337890625)","(-0.9489732384681702, -0.9982606768608093, 0.9419927000999451, 0.9426178932189941)",-38.8,1765210975.3683867
950,"(553.0560302734375, 1126.693359375, 826.4171752929688, 2146.685791015625)","(-0.9964044094085693, -0.9497549533843994, 0.9436633586883545, 0.9434267282485962)",-38.8,1765210975.5861032
951,"(509.6575012207031, 1169.9605712890625, 792.773193359375, 2064.404296875)","(-0.9003682732582092, -0.9505944848060608, 0.9448468685150146, 0.9447842240333557)",-38.8,1765210975.801629
952,"(531.6334838867188, 1175.736083984375, 796.2406005859375, 2023.1995849609375)","(-0.9021806120872498, -0.9018815755844116, 0.9461100697517395, 0.9460161924362183)",-38.8,1765210976.0198302
953,"(507.1981201171875, 1149.768798828125, 757.3187255859375, 2000.10498046875)","(-0.9036567211151123, -0.9038397073745728, 0.9472965598106384, 0.9471832513809204)",-38.8,1765210976.2381501
954,"(506.2342529296875, 1198.0048828125, 786.37890625, 2124.01611328125)","(-0.905927300453186, -0.905488133430481, 0.948846161365509, 0.9484503865242004)",-38.8,1765210976.4548953
955,"(497.40106201171875, 1113.177490234375, 739.359375, 2151.326416015625)","(-0.9075758457183838, -0.9073991179466248, 0.9010426998138428, 0.9918595552444458)",-38.8,1765210976.6714218
956,"(538.7158203125, 1175.669677734375, 792.5147094726562, 2088.812255859375)","(-0.9099048376083374, -0.9094420671463013, 0.9026361107826233, 0.9029770493507385)",-38.8,1765210976.8867993
957,"(548.634033203125, 1212.8857421875, 813.56201171875, 2161.10400390625)","(-0.9958217740058899, -0.9112852215766907, 0.9043928384780884, 0.9048551321029663)",-38.8,1765210977.104709
958,"(519.8614501953125, 1152.62451171875, 773.5927124023438, 2045.92919921875)","(-0.9125605225563049, -0.9122270345687866, 0.9064614772796631, 0.9061805009841919)",-38.8,1765210977.3204665
959,"(536.3209228515625, 1184.833984375, 795.729736328125, 2075.093505859375)","(-0.9149023294448853, -0.9145797491073608, 0.908122181892395, 0.9080760478973389)",-38.8,1765210977.538434
960,"(606.5418701171875, 1156.54541015625, 1039.7447509765625, 1924.3807373046875)","(-0.9179983735084534, -0.9177688360214233, 0.9116407036781311, 0.911418616771698)",-37.1,1765210977.9717565
961,"(618.7713012695312, 1148.447998046875, 1068.657470703125, 1911.3740234375)","(-0.9196370840072632, -0.9194257259368896, 0.9132663011550903, 0.9894033074378967)",-37.0,1765210978.1928933
962,"(615.919921875, 1155.271240234375, 1041.430419921875, 1843.28515625)","(-0.9213624000549316, -0.9210906028747559, 0.9149024486541748, 0.9146336913108826)",-37.0,1765210978.40547
963,"(622.2869873046875, 1165.5390625, 1086.8951416015625, 1859.0675048828125)","(-0.9930534362792969, -0.9229602217674255, 0.916195273399353, 0.9165142178535461)",-37.0,1765210978.623255
964,"(607.082763671875, 1138.6168212890625, 1046.8961181640625, 1756.0213623046875)","(-0.9246848821640015, -0.924308717250824, 0.9182915687561035, 0.9179530143737793)",-37.0,1765210978.8415196
965,"(631.8516845703125, 1197.621826171875, 1109.7156982421875, 1880.51611328125)","(-0.9259912371635437, -0.9259960651397705, 0.9199546575546265, 0.9195836186408997)",-37.0,1765210979.056931
966,"(619.5817260742188, 1180.6136474609375, 1070.515380859375, 1879.926513671875)","(-0.9283063411712646, -0.927916407585144, 0.9213769435882568, 0.9211533069610596)",-37.0,1765210979.2752128
967,"(630.3287353515625, 1207.359130859375, 1131.6378173828125, 1832.2049560546875)","(-0.930008053779602, -0.9295824766159058, 0.9225525856018066, 0.9230472445487976)",-37.0,1765210979.4902265
968,"(611.9358520507812, 1166.681640625, 1096.7813720703125, 1947.541015625)","(-0.9308199882507324, -0.9305028915405273, 0.9246848821640015, 0.9859306216239929)",-37.0,1765210979.7096298
969,"(600.4491577148438, 1146.5438232421875, 1031.43798828125, 1789.67822265625)","(-0.9325338006019592, -0.9324333667755127, 0.925766110420227, 0.9260497093200684)",-37.0,1765210979.9312017
970,"(630.729248046875, 1185.439453125, 1093.0673828125, 1877.575927734375)","(-0.9903322458267212, -0.9341942667961121, 0.927270233631134, 0.9274817705154419)",-37.0,1765210980.1428175
971,"(589.1489868164062, 1136.5948486328125, 1057.194091796875, 1809.26953125)","(-0.9360672235488892, -0.9355633854866028, 0.9289587140083313, 0.9290507435798645)",-37.0,1765210980.3600616
972,"(603.8750610351562, 1142.8262939453125, 1064.9765625, 1819.28173828125)","(-0.9375762939453125, -0.9372923970222473, 0.9304783940315247, 0.9307894110679626)",-37.0,1765210980.5755775
973,"(586.4832153320312, 1117.2587890625, 1032.4140625, 1806.041259765625)","(-0.9391835927963257, -0.9389262795448303, 0.931934654712677, 0.9320631623268127)",-37.0,1765210980.7937913
974,"(591.7589111328125, 1090.612548828125, 1033.19873046875, 1762.01806640625)","(-0.9400187134742737, -0.9399656057357788, 0.9331586360931396, 0.9334279894828796)",-37.0,1765210981.011586
975,"(614.542724609375, 1121.426025390625, 1052.99365234375, 1863.0103759765625)","(-0.9412326216697693, -0.9413107633590698, 0.934812605381012, 0.9832284450531006)",-37.0,1765210981.2286153
976,"(618.1197509765625, 1145.90478515625, 1048.58935546875, 1844.656982421875)","(-0.9422829747200012, -0.942114531993866, 0.9363328218460083, 0.9362642168998718)",-37.0,1765210981.4461243
977,"(623.3493041992188, 1157.028564453125, 1082.441162109375, 1871.630126953125)","(-0.9857253432273865, -0.9439192414283752, 0.9376565217971802, 0.9376266002655029)",-37.0,1765210981.6603673
978,"(610.9148559570312, 1128.562255859375, 1037.960205078125, 1802.6641845703125)","(-0.9453935027122498, -0.9451821446418762, 0.9391082525253296, 0.9390110373497009)",-37.0,1765210981.8786235
979,"(592.2276611328125, 1168.546142578125, 1017.6083374023438, 1873.586181640625)","(-0.946445107460022, -0.946571409702301, 0.9405239224433899, 0.9403964877128601)",-37.0,1765210982.0968554
980,"(544.3434448242188, 1122.77197265625, 1035.6282958984375, 1792.0126953125)","(-0.948167085647583, -0.947808027267456, 0.9415965676307678, 0.941470742225647)",-37.0,1765210982.312785
981,"(512.6842041015625, 1109.426025390625, 958.0949096679688, 1873.365478515625)","(-0.9497257471084595, -0.9496603608131409, 0.9428056478500366, 0.9431515336036682)",-37.0,1765210982.5326679
982,"(568.418212890625, 1102.84130859375, 1010.9854736328125, 1975.703125)","(-0.9507787823677063, -0.9508323669433594, 0.9442058801651001, 0.9796107411384583)",-37.0,1765210982.7457051
983,"(601.1239624023438, 1107.3240966796875, 1041.8270263671875, 1942.2105712890625)","(-0.9015302062034607, -0.9012647271156311, 0.9452572464942932, 0.9456861019134521)",-37.0,1765210982.9649582
984,"(662.7437744140625, 1061.4051513671875, 1178.5323486328125, 1891.4873046875)","(-0.9818734526634216, -0.9032992720603943, 0.9466195106506348, 0.9472444653511047)",-37.0,1765210983.1789975
985,"(608.927001953125, 1083.4205322265625, 1196.12939453125, 1888.352294921875)","(-0.9050661325454712, -0.9041282534599304, 0.9482343196868896, 0.9476421475410461)",-37.0,1765210983.3971994
986,"(614.9913940429688, 1175.028564453125, 1116.06591796875, 1863.2410888671875)","(-0.9070838093757629, -0.9066991806030273, 0.9001043438911438, 0.90032958984375)",-37.0,1765210983.615532
987,"(655.0632934570312, 1228.208740234375, 1122.857666015625, 1944.842529296875)","(-0.9095557332038879, -0.9087995886802673, 0.9022353887557983, 0.9023366570472717)",-37.0,1765210983.8309765
988,"(654.97314453125, 1231.8173828125, 1167.5101318359375, 1906.268798828125)","(-0.9108516573905945, -0.9105145931243896, 0.9034635424613953, 0.9044577479362488)",-37.0,1765210984.0487711
989,"(661.87744140625, 1268.430908203125, 1119.1922607421875, 1936.2373046875)","(-0.9129484295845032, -0.9124870896339417, 0.9050499796867371, 0.906043291091919)",-37.0,1765210984.2644527
990,"(640.4580688476562, 1219.7177734375, 1176.4549560546875, 1931.719482421875)","(-0.9145522713661194, -0.9145155549049377, 0.9071179628372192, 0.9078952670097351)",-37.0,1765210984.4836586
991,"(675.7235717773438, 1171.104248046875, 1209.6295166015625, 1898.2783203125)","(-0.9162508249282837, -0.9161685109138489, 0.9087055921554565, 0.909605860710144)",-37.0,1765210984.7003539
992,"(687.6615600585938, 1096.935791015625, 1378.752197265625, 1680.7369384765625)","(-0.919174313545227, -0.9185267090797424, 0.9126700162887573, 0.9124581813812256)",-35.3,1765210985.1340709
993,"(652.2109375, 1041.889404296875, 1470.9091796875, 1626.7236328125)","(-0.9209272861480713, -0.9206677079200745, 0.9141424298286438, 0.9144505858421326)",-35.2,1765210985.3495142
994,"(669.5853271484375, 1053.88916015625, 1425.86962890625, 1694.63818359375)","(-0.9230804443359375, -0.9226581454277039, 0.9158433675765991, 0.9160544872283936)",-35.2,1765210985.5674276
995,"(667.2987060546875, 1095.900634765625, 1366.874267578125, 1819.278076171875)","(-0.9244389533996582, -0.9242574572563171, 0.9172360301017761, 0.9176880121231079)",-35.2,1765210985.785702
996,"(678.3805541992188, 1070.3814697265625, 1438.386474609375, 1787.981201171875)","(-0.9262338876724243, -0.925849974155426, 0.9188241362571716, 0.9194306135177612)",-35.2,1765210986.0011296
997,"(683.1658935546875, 1077.890380859375, 1427.162109375, 1752.99658203125)","(-0.9279339909553528, -0.9272764325141907, 0.920219361782074, 0.9212019443511963)",-35.2,1765210986.2190597
998,"(652.8787231445312, 1045.3892822265625, 1397.602294921875, 1793.75390625)","(-0.9295449256896973, -0.9290243983268738, 0.9216903448104858, 0.9646865129470825)",-35.2,1765210986.4383335
999,"(654.4085083007812, 1030.405029296875, 1393.1884765625, 1663.152099609375)","(-0.9308181405067444, -0.930328369140625, 0.9232139587402344, 0.9244261980056763)",-35.2,1765210986.6540594
1000,"(680.040283203125, 969.14453125, 1470.349609375, 1574.0552978515625)","(-0.9325941801071167, -0.9323466420173645, 0.9247415065765381, 0.9260894656181335)",-35.2,1765210986.8704762
1001,"(655.5262451171875, 1002.874267578125, 1414.23388671875, 1597.70068359375)","(-0.9347692728042603, -0.9344146847724915, 0.9263627529144287, 0.9275943040847778)",-35.2,1765210987.0860043
1002,"(644.1878051757812, 1072.926513671875, 1430.60302734375, 1621.0469970703125)","(-0.9356595873832703, -0.9352720975875854, 0.9285939931869507, 0.9283445477485657)",-35.2,1765210987.3041847
1003,"(646.7781982421875, 1063.532958984375, 1405.691650390625, 1647.983154296875)","(-0.9370087385177612, -0.9361392259597778, 0.9297545552253723, 0.9307529330253601)",-35.2,1765210987.5197165
1004,"(666.7093505859375, 1089.821044921875, 1397.9798583984375, 1613.2261962890625)","(-0.9367163777351379, -0.9367228150367737, 0.9316428899765015, 0.931832492351532)",-35.2,1765210987.7374692
1005,"(656.2555541992188, 1190.0933837890625, 1356.6810302734375, 1753.178955078125)","(-0.9396507143974304, -0.9395425915718079, 0.9328076839447021, 0.9327767491340637)",-35.2,1765210987.9562023
1006,"(684.8843994140625, 1159.57373046875, 1445.0135498046875, 1735.4024658203125)","(-0.940863847732544, -0.9404227137565613, 0.9339575171470642, 0.934711754322052)",-35.2,1765210988.1712599
1007,"(706.8133544921875, 1094.898681640625, 1487.275146484375, 1716.099609375)","(-0.9425671696662903, -0.9418662786483765, 0.9352383613586426, 0.9362300038337708)",-35.2,1765210988.3890414
1008,"(665.9187622070312, 1121.38134765625, 1382.307373046875, 1616.4501953125)","(-0.9438959956169128, -0.9434084296226501, 0.9363760948181152, 0.9379172325134277)",-35.2,1765210988.604557
1009,"(694.8956909179688, 1130.659912109375, 1386.55810546875, 1628.90234375)","(-0.9442155361175537, -0.9439286589622498, 0.9383224844932556, 0.9390986561775208)",-35.2,1765210988.8240633
1010,"(671.6131591796875, 1099.784423828125, 1488.5260009765625, 1625.1466064453125)","(-0.9465470910072327, -0.9459058046340942, 0.9539614915847778, 0.9398889541625977)",-35.2,1765210989.0410047
1011,"(695.157958984375, 1166.348388671875, 1448.012451171875, 1718.197265625)","(-0.9468413591384888, -0.946664035320282, 0.9414562582969666, 0.941404402256012)",-35.2,1765210989.2561007
1012,"(653.2791748046875, 1193.501953125, 1372.35009765625, 1786.3717041015625)","(-0.9491965174674988, -0.9487239718437195, 0.9422481656074524, 0.9430233836174011)",-35.2,1765210989.474371
1013,"(705.9380493164062, 1123.7781982421875, 1402.3760986328125, 1668.886962890625)","(-0.9502542614936829, -0.9495992064476013, 0.943824827671051, 0.9439639449119568)",-35.2,1765210989.6914008
1014,"(701.6055297851562, 1150.830078125, 1478.0889892578125, 1746.747802734375)","(-0.900805652141571, -0.900174617767334, 0.9449289441108704, 0.9456170797348022)",-35.2,1765210989.9076793
1015,"(711.2526245117188, 1071.213134765625, 1361.048583984375, 1593.987060546875)","(-0.9028568267822266, -0.9023206233978271, 0.9464393854141235, 0.9462115168571472)",-35.2,1765210990.123125
1016,"(706.5518798828125, 1132.477294921875, 1487.671142578125, 1727.864013671875)","(-0.9043759107589722, -0.9037262201309204, 0.9474741220474243, 0.9477747678756714)",-35.2,1765210990.3426661
1017,"(674.2340698242188, 1058.8714599609375, 1488.652099609375, 1590.7132568359375)","(-0.9065021276473999, -0.9060958623886108, 0.946566104888916, 0.9487311840057373)",-35.2,1765210990.5595737
1018,"(690.6113891601562, 1141.75390625, 1440.4464111328125, 1679.5506591796875)","(-0.9078735113143921, -0.9073410630226135, 0.9015164375305176, 0.9017037749290466)",-35.2,1765210990.7747498
1019,"(710.1119384765625, 1148.580078125, 1423.768798828125, 1632.37353515625)","(-0.9093812108039856, -0.9568130970001221, 0.9033674597740173, 0.9032304286956787)",-35.2,1765210990.9929042
1020,"(720.228271484375, 1154.4462890625, 1410.01513671875, 1582.489990234375)","(-0.9122586250305176, -0.9116873741149902, 0.9048723578453064, 0.9051908254623413)",-35.2,1765210991.2093916
1021,"(701.593505859375, 1181.4852294921875, 1504.7381591796875, 1671.440673828125)","(-0.9129998683929443, -0.9121991395950317, 0.9068391919136047, 0.9071709513664246)",-35.2,1765210991.4263923
1022,"(669.9588623046875, 1085.016845703125, 1370.864501953125, 1517.27685546875)","(-0.9148303866386414, -0.9145172238349915, 0.9086673855781555, 0.9084957838058472)",-35.2,1765210991.6444528
1023,"(705.5223388671875, 1129.2386474609375, 1486.1834716796875, 1629.064453125)","(-0.9166267514228821, -0.9164727926254272, 0.9099015593528748, 0.9103984236717224)",-35.2,1765210991.8600197
1024,"(742.4738159179688, 1056.1187744140625, 1776.01171875, 1336.538818359375)","(-0.9197108149528503, -0.9194583296775818, 0.9135027527809143, 0.9139373898506165)",-33.4,1765210992.2932293
1025,"(780.8536376953125, 1074.9857177734375, 1836.4498291015625, 1374.27685546875)","(-0.9216861724853516, -0.9648801684379578, 0.9155380725860596, 0.9152410626411438)",-33.4,1765210992.5116596
1026,"(768.4822998046875, 1062.3802490234375, 1829.3104248046875, 1404.88037109375)","(-0.9233951568603516, -0.9232093095779419, 0.9163215756416321, 0.9172177910804749)",-33.4,1765210992.7299044
1027,"(785.638671875, 1100.0665283203125, 1854.853759765625, 1453.8978271484375)","(-0.9244482517242432, -0.924375057220459, 0.9186940789222717, 0.9187239408493042)",-33.4,1765210992.9477537
1028,"(760.9169921875, 1064.1251220703125, 1800.49072265625, 1386.372802734375)","(-0.9265115261077881, -0.9260850548744202, 0.9200685620307922, 0.9203137755393982)",-33.4,1765210993.1631427
1029,"(786.4141235351562, 1080.38232421875, 1900.683349609375, 1442.8568115234375)","(-0.9281531572341919, -0.9279526472091675, 0.9217163920402527, 0.9220243096351624)",-33.4,1765210993.3785684
1030,"(784.88720703125, 1058.580078125, 1826.513427734375, 1436.8106689453125)","(-0.929858386516571, -0.9291404485702515, 0.9278256297111511, 0.9233444929122925)",-33.4,1765210993.5967963
1031,"(783.4766845703125, 1032.903076171875, 1759.444580078125, 1538.960693359375)","(-0.9312518835067749, -0.9308231472969055, 0.9252831339836121, 0.9249557852745056)",-33.4,1765210993.8145788
1032,"(814.7567749023438, 1040.4427490234375, 1773.7900390625, 1532.19287109375)","(-0.9329010248184204, -0.9714752435684204, 0.9262360334396362, 0.9265376925468445)",-33.4,1765210994.0300777
1033,"(782.4912109375, 991.1869506835938, 1811.06396484375, 1525.9991455078125)","(-0.9342628717422485, -0.9340419769287109, 0.9276742339134216, 0.9283815622329712)",-33.4,1765210994.248298
1034,"(786.9998779296875, 1062.04248046875, 1821.61865234375, 1480.821044921875)","(-0.9361777305603027, -0.9354763627052307, 0.9295220375061035, 0.929356038570404)",-33.4,1765210994.4636884
1035,"(782.854248046875, 1050.5400390625, 1876.299560546875, 1441.420166015625)","(-0.9371174573898315, -0.9367592930793762, 0.9314457774162292, 0.930849015712738)",-33.4,1765210994.682552
1036,"(767.8306884765625, 1037.7064208984375, 1835.145263671875, 1419.0048828125)","(-0.9384597539901733, -0.9384346008300781, 0.931685209274292, 0.9328469634056091)",-33.4,1765210994.8998654
1037,"(791.8343505859375, 1050.71923828125, 1917.2501220703125, 1437.66015625)","(-0.9410510659217834, -0.9402790665626526, 0.9176163077354431, 0.9338022470474243)",-33.4,1765210995.1153316
1038,"(788.7142333984375, 1026.62744140625, 1855.07275390625, 1429.1978759765625)","(-0.9418850541114807, -0.9415730834007263, 0.935625433921814, 0.9345912933349609)",-33.4,1765210995.3331861
1039,"(801.3578491210938, 1074.8836669921875, 1948.110107421875, 1489.1317138671875)","(-0.9427627325057983, -0.977251410484314, 0.9360882043838501, 0.9372156858444214)",-33.4,1765210995.5486298
1040,"(787.4619750976562, 1023.16162109375, 1815.963134765625, 1442.069580078125)","(-0.9441366791725159, -0.9438985586166382, 0.9382133483886719, 0.9379045963287354)",-33.4,1765210995.7670512
1041,"(801.834228515625, 993.634521484375, 1907.724853515625, 1434.512939453125)","(-0.9457401633262634, -0.9450331330299377, 0.9389883875846863, 0.939666748046875)",-33.4,1765210995.9820168
1042,"(785.93701171875, 1008.4559326171875, 1823.822509765625, 1416.000244140625)","(-0.9467586278915405, -0.9464619159698486, 0.940524697303772, 0.9406766891479492)",-33.4,1765210996.2021394
1043,"(779.62451171875, 1011.8025512695312, 1823.70654296875, 1446.413330078125)","(-0.9483778476715088, -0.9482685923576355, 0.9417318105697632, 0.942349910736084)",-33.4,1765210996.4184828
1044,"(786.4586181640625, 973.208740234375, 1938.0286865234375, 1494.147705078125)","(-0.950302243232727, -0.9498996138572693, 0.9064589142799377, 0.9431359171867371)",-33.4,1765210996.6343815
1045,"(768.7255859375, 1021.7255859375, 1904.304931640625, 1452.58056640625)","(-0.9000244140625, -0.950234591960907, 0.9448311924934387, 0.94472736120224)",-33.4,1765210996.8517878
1046,"(791.724609375, 1153.1024169921875, 1776.1090087890625, 1471.984130859375)","(-0.9018815755844116, -0.9831169843673706, 0.945621132850647, 0.9460049271583557)",-33.4,1765210997.0685666
1047,"(808.6985473632812, 1130.33447265625, 1763.981689453125, 1534.3797607421875)","(-0.9039895534515381, -0.9036507606506348, 0.9471699595451355, 0.9471182823181152)",-33.4,1765210997.2854457
1048,"(852.251953125, 1107.67822265625, 1830.4443359375, 1532.076171875)","(-0.9059643149375916, -0.9054007530212402, 0.9482496976852417, 0.9482316374778748)",-33.4,1765210997.503393
1049,"(848.1539306640625, 1156.1114501953125, 1788.2447509765625, 1577.295654296875)","(-0.9079409837722778, -0.9071633815765381, 0.9009633660316467, 0.900496244430542)",-33.4,1765210997.7188432
1050,"(830.91162109375, 1214.060302734375, 1814.13671875, 1656.4361572265625)","(-0.9089828133583069, -0.9086313843727112, 0.9027613401412964, 0.9027445912361145)",-33.4,1765210997.9401793
1051,"(807.1893920898438, 1224.9404296875, 1822.1619873046875, 1534.5120849609375)","(-0.9109148383140564, -0.9105322360992432, 0.9044115543365479, 0.9042623043060303)",-33.4,1765210998.1531487
1052,"(804.6951293945312, 1217.747802734375, 1821.3463134765625, 1574.393310546875)","(-0.9127099514007568, -0.9124529361724854, 0.9061475396156311, 0.9065426588058472)",-33.4,1765210998.3703823
1053,"(767.8207397460938, 1235.04296875, 1737.664794921875, 1566.265869140625)","(-0.9142235517501831, -0.9139693975448608, 0.9081271290779114, 0.9079294800758362)",-33.4,1765210998.5886028
1054,"(778.6273803710938, 1202.586669921875, 1807.3701171875, 1558.188720703125)","(-0.9159948825836182, -0.9158181548118591, 0.9099045991897583, 0.9096472859382629)",-33.4,1765210998.804114
1055,"(792.360107421875, 1200.8651123046875, 1845.811279296875, 1532.0240478515625)","(-0.9178818464279175, -0.9173914790153503, 0.9114426970481873, 0.9114775657653809)",-33.4,1765210999.0218916
1056,"(919.7509155273438, 1187.842041015625, 2293.923583984375, 1374.1412353515625)","(-0.9212193489074707, -0.9203888177871704, 0.9148840308189392, 0.9147550463676453)",-31.5,1765210999.4562047
1057,"(981.998291015625, 1129.0511474609375, 2341.4580078125, 1264.5833740234375)","(-0.9230636358261108, -0.922655463218689, 0.9164918065071106, 0.9163467884063721)",-31.5,1765210999.6735342
1058,"(935.2488403320312, 1169.1829833984375, 2362.05712890625, 1315.12548828125)","(-0.9245049953460693, -0.924009382724762, 0.9180784225463867, 0.9180659055709839)",-31.5,1765210999.8889806
1059,"(931.5040893554688, 1206.79931640625, 2279.552001953125, 1297.903564453125)","(-0.9266254901885986, -0.9258584380149841, 0.9196094870567322, 0.9194612503051758)",-31.5,1765211000.107231
1060,"(950.7061157226562, 1208.5323486328125, 2338.99365234375, 1356.141357421875)","(-0.9273108839988708, -0.9266831874847412, 0.9215273857116699, 0.9212806820869446)",-31.5,1765211000.323754
1061,"(963.3428955078125, 1182.205078125, 2325.7236328125, 1303.4644775390625)","(-0.9291988015174866, -0.9290621876716614, 0.9226270914077759, 0.922833263874054)",-31.5,1765211000.5410736
1062,"(903.8108520507812, 1226.8076171875, 2210.298583984375, 1360.2091064453125)","(-0.9313328862190247, -0.9309992790222168, 0.9241225719451904, 0.9242032170295715)",-31.5,1765211000.7587
1063,"(952.3017578125, 1179.857177734375, 2251.77783203125, 1266.678955078125)","(-0.9326076507568359, -0.9323830604553223, 0.9261929392814636, 0.925700843334198)",-31.5,1765211000.9741962
1064,"(1013.4675903320312, 1154.1890869140625, 2277.540283203125, 1283.7099609375)","(-0.9346700310707092, -0.9338803291320801, 0.9278806447982788, 0.92701256275177)",-31.5,1765211001.1920593
1065,"(971.5296630859375, 1186.3115234375, 2363.82275390625, 1283.5958251953125)","(-0.9347538352012634, -0.934523344039917, 0.9294896125793457, 0.9287842512130737)",-31.5,1765211001.407515
1066,"(962.09375, 1183.05712890625, 2383.10986328125, 1298.6192626953125)","(-0.9371443390846252, -0.9365430474281311, 0.9300801157951355, 0.9305866956710815)",-31.5,1765211001.6268322
1067,"(1016.9601440429688, 1122.5411376953125, 2401.23486328125, 1199.826904296875)","(-0.9884663224220276, -0.9376468658447266, 0.931943953037262, 0.9319449067115784)",-31.5,1765211001.8412106
1068,"(960.1953125, 1190.2908935546875, 2365.95458984375, 1287.149658203125)","(-0.9394782185554504, -0.9391184449195862, 0.9335306286811829, 0.9332477450370789)",-31.5,1765211002.0590603
1069,"(921.909912109375, 1230.499267578125, 2213.7197265625, 1344.05859375)","(-0.9411802291870117, -0.9408433437347412, 0.9345340132713318, 0.9348875880241394)",-31.5,1765211002.2772958
