,rssi,corr,theta,timestamp
33,"(49.753578186035156, 259.8016052246094, 592.74951171875, 733.984130859375)","(-0.9159033894538879, -0.9153451323509216, 0.9108108878135681, 0.9107242822647095)",-88.2,1765210773.3424718
34,"(47.18688201904297, 220.97390747070312, 591.5699462890625, 705.9617919921875)","(-0.9173401594161987, -0.9181445837020874, 0.9708130955696106, 0.9120249152183533)",-88.2,1765210773.5605845
35,"(50.5926399230957, 218.8888702392578, 548.1576538085938, 722.183837890625)","(-0.9194425344467163, -0.9195418953895569, 0.9137619733810425, 0.913977324962616)",-88.2,1765210773.775577
36,"(47.88484191894531, 234.24107360839844, 543.5865478515625, 790.7840576171875)","(-0.9202048778533936, -0.9208273887634277, 0.9150778651237488, 0.9154043793678284)",-88.2,1765210773.9939258
37,"(59.423221588134766, 229.81036376953125, 540.8638305664062, 726.5416870117188)","(-0.9229187965393066, -0.9230439066886902, 0.9169807434082031, 0.9169781804084778)",-88.2,1765210774.2093172
38,"(61.857337951660156, 238.76527404785156, 557.9058837890625, 742.24267578125)","(-0.9249403476715088, -0.9248480200767517, 0.9186676144599915, 0.9188500046730042)",-88.2,1765210774.427245
39,"(60.5889778137207, 230.9154052734375, 544.7276611328125, 710.8216552734375)","(-0.9250625967979431, -0.9276720881462097, 0.9197555184364319, 0.9199811220169067)",-88.2,1765210774.6473188
40,"(58.53082275390625, 232.04824829101562, 559.7457885742188, 728.0950317382812)","(-0.9273920059204102, -0.9289422631263733, 0.9213060736656189, 0.9211034178733826)",-88.2,1765210774.8609214
41,"(53.98058319091797, 226.3211669921875, 575.0429077148438, 680.4119873046875)","(-0.9299863576889038, -0.9294202327728271, 0.9667431116104126, 0.9232813715934753)",-88.2,1765210775.0791976
42,"(53.51543426513672, 237.14083862304688, 554.003662109375, 727.3231201171875)","(-0.9294175505638123, -0.9311084151268005, 0.9240671396255493, 0.9252219200134277)",-88.2,1765210775.2942207
43,"(50.668087005615234, 222.25306701660156, 536.2676391601562, 705.3988037109375)","(-0.9327531456947327, -0.9320684671401978, 0.9265725612640381, 0.9264118671417236)",-88.2,1765210775.5141048
44,"(50.37995147705078, 223.29408264160156, 530.6878662109375, 714.4610595703125)","(-0.9333598613739014, -0.9324677586555481, 0.9279401302337646, 0.9284621477127075)",-88.2,1765210775.7279305
45,"(48.145912170410156, 219.3716278076172, 543.076904296875, 749.3087768554688)","(-0.9346497654914856, -0.9347331523895264, 0.9293239712715149, 0.9297305941581726)",-88.2,1765210775.945737
