rssi0,theta0,rssi1,theta1,rssi2,theta2,rssi3,theta3
0.19288717537130637,-0.7644542123735163,0.02304126333367428,-0.767944870877505,0.015827088687245246,-0.7661995416255106,0.02084807663266412,-0.7661995416255106
0.20087571350928166,-0.757472895365539,0.02863406794526593,-0.7539822368615504,0.01758076238293461,-0.7557275661135446,0.02921264651209696,-0.7557275661135446
0.20826442697384265,-0.7609635538695276,0.028654407085086087,-0.757472895365539,0.014856213855330624,-0.757472895365539,0.0249254130659942,-0.7557275661135446
0.19348129698985828,-0.7522369076095561,0.03442595101631769,-0.7522369076095561,0.01323999675093832,-0.7522369076095561,0.024242300589155552,-0.7522369076095561
0.18075124137690382,-0.7435102613495843,0.03819356810465563,-0.74176493209759,0.013138596204307768,-0.7365289443416071,0.02556819821240507,-0.7382742735936013
0.16998478286195517,-0.7155849933176751,0.03413423808066507,-0.7190756518216638,0.01315052264965179,-0.7243116395776468,0.03765911801032008,-0.7243116395776468
0.1797476503342013,-0.7086036763096978,0.033341520657316305,-0.7051130178057091,0.006607700468299021,-0.7068583470577035,0.032717737371647126,-0.7033676885537147
0.19429077332415898,-0.6859143960337715,0.03372587002997466,-0.6876597252857658,0.007328820163489372,-0.6894050545377601,0.01368994075730621,-0.6876597252857658
0.20972232735453297,-0.6719517620178168,0.03540867405862183,-0.6736970912698113,0.005815203388169825,-0.6736970912698113,0.006663742742999033,-0.6702064327658225
0.226761534004722,-0.6475171524898963,0.0257015152594753,-0.6422811647339132,0.006050827925305949,-0.6492624817418906,0.0033522188395134875,-0.6475171524898963
0.24515794986962,-0.6387905062299246,0.025062617110044223,-0.6387905062299246,0.005084237724728373,-0.6370451769779303,0.00615584404315202,-0.6370451769779303
0.2774305619472843,-0.6038839211900381,0.022483905590480715,-0.6073745796940266,0.004294562255129288,-0.6126105674500096,0.015589804000149324,-0.609119908946021
0.28374299202267955,-0.6003932626860493,0.01763384021031732,-0.6021385919380438,0.0030502921397593825,-0.6038839211900381,0.018021692917878848,-0.6038839211900381
0.30293809135583466,-0.5846852994181004,0.014756511388565997,-0.5707226654021458,0.002653490751296205,-0.57246799465414,0.039283765956917065,-0.5707226654021458
0.3034011760522117,-0.5689773361501514,0.011882609224857085,-0.5654866776461628,0.0011616170457478209,-0.5689773361501514,0.039244275603179085,-0.5654866776461628
0.3487987079574031,-0.5375614096142535,0.010528185134146563,-0.5375614096142535,0.001316407441607545,-0.5340707511102649,0.03962488192910809,-0.5375614096142535
0.35404842772541173,-0.5323254218582705,0.008234622224960767,-0.5340707511102649,0.0028899487224047665,-0.5288347633542818,0.05889757578622671,-0.5305800926062761
0.3550454010784228,-0.5009094953223726,0.005632519789383343,-0.4974188368183839,0.0031225035265908083,-0.5131268000863328,0.06829925887092819,-0.5148721293383272
0.41595162394836116,-0.49218284906240095,0.005553040493893227,-0.4939281783143953,0.002010773479799716,-0.48520153205442357,0.07254388371408103,-0.49218284906240095
0.42692439342764527,-0.4660029102824859,0.008710514934804585,-0.4660029102824859,0.0012623866673728312,-0.47647488579445196,0.09758640229341671,-0.47647488579445196
