n,theta,p0,p1,p2,p3
28,-0.45484338082276465,0.2539409358339357,0.9375977394084691,0.18361221343537484,0.1507018090179274
29,-0.43368787473798487,0.21289538193060245,0.9547612117375959,0.16185511826384869,0.1300365548827567
30,-0.4125323686532051,0.1721874208826776,0.9693875922355134,0.13761786640327361,0.1081689001340793
31,-0.3913768625684254,0.13203920353113885,0.9813214125459447,0.11093066216591357,0.08525445560864306
32,-0.3702213564836456,0.09267550644970202,0.9904215034551594,0.08184492748333265,0.06146465523502727
33,-0.34906585039886584,0.05432153910395718,0.9965629310349182,0.050433742532110894,0.036985571384999534
34,-0.32791034431408617,0.01720066084135076,0.9996388189910328,0.016792040032947073,0.012016498007566302
35,-0.3067548382293064,0.018467962809073514,0.999562026063137,0.01896346073064501,0.013231687698719895
36,-0.2855993321445266,0.05247173275289566,0.9962666484053115,0.056694590319812645,0.038538370043692295
37,-0.2644438260597469,0.08460698431189759,0.9897093185937599,0.09624234194164186,0.0636752268304539
38,-0.24328831997496714,0.1146813158256395,0.9798702752473134,0.13742776213940677,0.08840842539378724
39,-0.22213281389018735,0.14251584256541008,0.9667541801837646,0.18005311618683426,0.1125009558470452
40,-0.20097730780540757,0.16794734076040388,0.950390663528539,0.223903320209147,0.13571507141291436
41,-0.1798218017206279,0.1908302473352274,0.9308345811851918,0.26874762725127227,0.15781480291333796
42,-0.1586662956358481,0.21103848245445636,0.9081659734983352,0.3143415498073124,0.17856851225195955
43,-0.13751078955106832,0.2284670641523673,0.8824897187044528,0.36042899682249874,0.19775144810610387
44,-0.11635528346628865,0.24303348716510936,0.853934879779098,0.40674459898509,0.21514826610847337
45,-0.09519977738150887,0.25467884153226117,0.8226537484457682,0.4530161923419849,0.2305554755799173
46,-0.07404427129672908,0.26336865053237535,0.7888205953016839,0.4989674269916007,0.2437837753953989
47,-0.05288876521194941,0.26909341198515674,0.7526301401248189,0.5443204649138138,0.2546602428293269
48,-0.03173325912716973,0.27186883180055255,0.7142957613406793,0.5887987289595531,0.26303034121894947
49,-0.010577753042389837,0.271735743780507,0.6740474682352472,0.6321296636969782,0.2687597149724142
50,0.010577753042389837,0.2687597149724142,0.6321296636969782,0.6740474682352472,0.271735743780507
51,0.03173325912716973,0.26303034121894947,0.5887987289595531,0.7142957613406793,0.27186883180055255
52,0.05288876521194941,0.2546602428293269,0.5443204649138139,0.7526301401248189,0.2690934119851568
53,0.07404427129672908,0.2437837753953989,0.4989674269916007,0.7888205953016839,0.26336865053237535
54,0.09519977738150898,0.23055547557991726,0.45301619234198465,0.8226537484457684,0.2546788415322611
55,0.11635528346628865,0.21514826610847335,0.40674459898508997,0.8539348797790979,0.24303348716510934
56,0.13751078955106832,0.19775144810610387,0.36042899682249874,0.8824897187044528,0.2284670641523673
57,0.15866629563584822,0.1785685122519594,0.3143415498073122,0.9081659734983353,0.2110384824544563
58,0.1798218017206279,0.15781480291333796,0.26874762725127227,0.9308345811851918,0.1908302473352274
59,0.20097730780540757,0.13571507141291436,0.223903320209147,0.950390663528539,0.16794734076040388
60,0.22213281389018746,0.1125009558470451,0.18005311618683412,0.9667541801837648,0.14251584256540986
61,0.24328831997496714,0.08840842539378724,0.13742776213940677,0.9798702752473134,0.1146813158256395
62,0.2644438260597468,0.06367522683045404,0.09624234194164197,0.9897093185937599,0.08460698431189766
63,0.2855993321445267,0.038538370043692156,0.05669459031981239,0.9962666484053117,0.05247173275289546
64,0.3067548382293064,0.013231687698719895,0.01896346073064501,0.999562026063137,0.018467962809073514
65,0.32791034431408606,0.012016498007566165,0.01679204003294686,0.9996388189910328,0.01720066084135063
66,0.34906585039886595,0.036985571384999714,0.05043374253211114,0.9965629310349182,0.0543215391039574
67,0.3702213564836456,0.06146465523502727,0.08184492748333265,0.9904215034551594,0.09267550644970202
68,0.3913768625684253,0.08525445560864287,0.11093066216591349,0.981321412545945,0.13203920353113865
69,0.4125323686532052,0.10816890013407947,0.13761786640327367,0.9693875922355134,0.1721874208826778
70,0.43368787473798487,0.1300365548827567,0.16185511826384869,0.9547612117375959,0.21289538193060245
71,0.45484338082276454,0.1507018090179273,0.1836122134353748,0.9375977394084691,0.25394093583393545
72,0.47599888690754444,0.17002582075504774,0.2028794956006828,0.9180649244215601,0.29510663341954885
73,0.4971543929923241,0.18788722236504393,0.21966697803361865,0.8963407277230584,0.3361816625850143
74,0.5183098990771038,0.20418258598681618,0.2340032790041863,0.8726112330112946,0.3769636229366614
75,0.5394654051618837,0.218826655807461,0.2459343954105082,0.8470685672351458,0.417260123022064
76,0.5606209112466634,0.23175235565171587,0.25552234033373006,0.8199088583876433,0.45689018721978
77,0.581776417331443,0.24291058414100014,0.26284367094587824,0.7913302562433507,0.49568546308098016
78,0.6029319234162229,0.2522698122940258,0.26798793340765714,0.7615310392206067,0.5334912235984889
79,0.6240874295010026,0.25981550071429205,0.27105605110207726,0.7307078278146246,0.5701671624356865
80,0.6452429355857825,0.2655493553261187,0.27215868179912484,0.6990539221183746,0.6055879835153295
81,0.6663984416705622,0.2694884419732495,0.27141456818284776,0.666757777898236,0.6396437894900219
82,0.6875539477553418,0.2716641810867211,0.2689489046479294,0.6340016325912665,0.6722402764449396
83,0.7087094538401217,0.2721212440760385,0.26489174144505917,0.6009602895073473,0.7032987446824843
84,0.7298649599249014,0.27091637312328615,0.2593764451828877,0.5678000655136046,0.7327559375813745
85,0.7510204660096811,0.2681171456948568,0.2525382324395804,0.534677904605208,0.7605637222926949
86,0.772175972094461,0.2638007043676307,0.24451279085879618,0.5017406570731953,0.7866886274259611
87,0.7933314781792407,0.2580524715381371,0.2354349996609547,0.46912452150581013,0.8111112538916284
88,0.8144869842640203,0.25096486729031436,0.22543775904513857,0.43695464463606065,0.8338255757133112
89,0.8356424903488002,0.2426360471877265,0.21465093553963893,0.405344872097686,0.8548381479211042
90,0.8567979964335799,0.23316867507783004,0.20320042802440397,0.3743976414891066,0.8741672386108637
91,0.8779535025183596,0.22266874419677363,0.19120735693497512,0.34420400777721705,0.891841901932105
92,0.8991090086031395,0.21124445798911828,0.17878737709707412,0.314843789999853,0.907901008182148
93,0.9202645146879191,0.19900518015091587,0.16605011275949944,0.2863858274406881,0.9223922463717762
94,0.9414200207726988,0.18606046150637137,0.1530987117095876,0.2588883329408495,0.9353711136249656
95,0.9625755268574785,0.1725191494733281,0.140029513883128,0.23239933076050845,0.9468999046196607
96,0.9837310329422582,0.15848858409195407,0.12693182862618654,0.20695716638997444,0.9570467130051555
97,1.0048865390270383,0.14407388291039439,0.11388781373127377,0.18259107590938672,0.965884455380086
98,1.026042045111818,0.12937731546195458,0.100972448551181,0.15932180288274922,0.9734899270170326
99,1.0471975511965976,0.11449776664689996,0.08825359288276641,0.13716225131835966,0.9799428971064764
