,Times,RSSI,POS
0,1764851371.2487342,"(12223.4765625, 675.9508666992188, 17723.134765625, 2485.21728515625)",-1.0
1,1764851371.2487342,"(12903.02734375, 565.3240966796875, 18688.595703125, 2791.778564453125)",-1.0
2,1764851371.2487342,"(13760.3779296875, 1259.0078125, 14866.9619140625, 2721.69775390625)",-1.0
3,1764851371.2487342,"(4044.8623046875, 12821.791015625, 4765.46923828125, 559.1421508789062)",116.5
4,1764851371.2487342,"(6508.8134765625, 12649.689453125, 5986.0625, 4581.8486328125)",117.8
5,1764851371.2487342,"(6098.4501953125, 13274.1806640625, 6000.4140625, 3635.400634765625)",117.8
6,1764851371.2487342,"(793.9224243164062, 100.27912139892578, 11638.1455078125, 12072.546875)",236.0
7,1764851371.2487342,"(1706.841552734375, 310.14300537109375, 12447.8671875, 12972.23046875)",238.1
8,1764851371.2487342,"(2185.12890625, 406.4537048339844, 12140.8603515625, 13326.716796875)",238.5
9,1764851371.2487342,"(12774.62890625, 4203.8173828125, 17855.1796875, 5704.37109375)",356.7
10,1764851371.2487342,"(13208.57421875, 915.7750244140625, 17263.232421875, 3182.2666015625)",358.4
11,1764851371.2487342,"(13327.5166015625, 813.2462158203125, 14796.6279296875, 4360.47265625)",358.7
