,Times,RSSI,POS
0,1764758819.9641256,"(21.815040588378906, 17.741708755493164, 335.7794494628906, 21.75662612915039)",4.3
1,1764758819.9641256,"(28.185504913330078, 32.752052307128906, 273.8150939941406, 54.128990173339844)",2.1
2,1764758819.9641256,"(29.839439392089844, 34.38694381713867, 261.8863525390625, 67.70468139648438)",1.8
3,1764758819.9641256,"(54.53470993041992, 0.5681595802307129, 5.461217403411865, 2.6304426193237305)",116.0
4,1764758819.9641256,"(44.666893005371094, 0.6694002151489258, 10.673820495605469, 11.062288284301758)",117.7
5,1764758819.9641256,"(38.52113342285156, 0.6969872117042542, 11.364320755004883, 15.281904220581055)",118.1
6,1764758819.9641256,"(45.8118896484375, 11.277016639709473, 30.804935455322266, 3.0427193641662598)",236.9
7,1764758819.9641256,"(50.648536682128906, 10.678670883178711, 21.584304809570312, 4.36439323425293)",237.7
8,1764758819.9641256,"(37.84912872314453, 10.614362716674805, 29.747764587402344, 5.01596736907959)",237.9
9,1764758819.9641256,"(29.3337345123291, 54.429595947265625, 157.95809936523438, 170.57162475585938)",356.5
10,1764758819.9641256,"(24.756135940551758, 53.19917297363281, 161.70828247070312, 136.34751892089844)",357.2
11,1764758819.9641256,"(29.040353775024414, 50.383358001708984, 191.09970092773438, 119.99009704589844)",357.3
