,Times,RSSI,POS
0,1764758660.7819438,"(18.584007263183594, 20.052446365356445, 304.3958740234375, 33.91065979003906)",3.1
1,1764758660.7819438,"(25.165264129638672, 27.314708709716797, 290.4619140625, 76.47091674804688)",2.0
2,1764758660.7819438,"(27.915302276611328, 25.464412689208984, 305.43768310546875, 78.70728302001953)",1.7
3,1764758660.7819438,"(1.072989583015442, 536.2135009765625, 15.943102836608887, 14.573731422424316)",48.5
4,1764758660.7819438,"(0.4305528998374939, 498.0663757324219, 16.153438568115234, 24.778799057006836)",49.6
5,1764758660.7819438,"(1.0670396089553833, 427.010009765625, 22.792987823486328, 25.907718658447266)",49.8
6,1764758660.7819438,"(217.514404296875, 1.48703932762146, 2.0263924598693848, 9.257561683654785)",98.8
7,1764758660.7819438,"(203.73260498046875, 2.3523471355438232, 0.9029925465583801, 8.032299041748047)",100.2
8,1764758660.7819438,"(204.72869873046875, 6.323541164398193, 1.8054742813110352, 7.102700233459473)",100.5
9,1764758660.7819438,"(33.17539978027344, 0.09988178312778473, 2.6626272201538086, 5.443331718444824)",150.5
10,1764758660.7819438,"(30.083715438842773, 0.10306575894355774, 1.5336041450500488, 5.4017767906188965)",150.9
11,1764758660.7819438,"(28.43547821044922, 0.12380263954401016, 1.4535731077194214, 3.309408187866211)",151.5
12,1764758660.7819438,"(3.7374911308288574, 5.285379409790039, 9.401196479797363, 5.43527889251709)",201.5
13,1764758660.7819438,"(2.860400676727295, 3.2494239807128906, 20.247501373291016, 2.3767852783203125)",202.8
14,1764758660.7819438,"(2.7445411682128906, 1.480547547340393, 27.574146270751953, 2.0116167068481445)",203.2
15,1764758660.7819438,"(0.7005317807197571, 15.770936965942383, 0.3841467499732971, 33.60314178466797)",253.8
16,1764758660.7819438,"(0.5568944811820984, 15.415771484375, 0.5766091346740723, 38.810882568359375)",254.1
17,1764758660.7819438,"(0.5808992385864258, 14.858301162719727, 1.2905851602554321, 43.53357696533203)",254.1
18,1764758660.7819438,"(4.963062286376953, 1.6845661401748657, 3.796206474304199, 56.613868713378906)",304.2
19,1764758660.7819438,"(4.586442947387695, 1.3418763875961304, 3.120905876159668, 74.77134704589844)",305.5
20,1764758660.7819438,"(4.864805221557617, 1.5199466943740845, 2.1504979133605957, 85.34466552734375)",305.8
21,1764758660.7819438,"(31.558677673339844, 51.250083923339844, 145.97935485839844, 139.33203125)",356.9
22,1764758660.7819438,"(34.336997985839844, 51.881187438964844, 147.9646453857422, 116.7000961303711)",357.3
23,1764758660.7819438,"(36.13664245605469, 56.16370391845703, 215.23092651367188, 125.744384765625)",357.5
