,Angles,Times,RSSI,POS
0,-0.252771822702627,1764581275.1005275,"(0.4757605493068695, 3.851381778717041, 0.7413314580917358, 0.2979275584220886)",-40.3
1,0.036110260386089665,1764581275.310755,"(0.6131660342216492, 1.0729228258132935, 1.4734079837799072, 0.23649519681930542)",-30.7
2,-0.252771822702627,1764581275.528317,"(0.24395164847373962, 1.9316952228546143, 0.08177430182695389, 0.324507474899292)",-8.3
3,-0.5416539057913435,1764581275.744242,"(0.5393853783607483, 1.3792781829833984, 0.17674247920513153, 0.7101903557777405)",-4.9
4,-0.6860949473357019,1764581275.9881263,"(1.3697706460952759, 1.2188801765441895, 0.16998842358589172, 0.7227131128311157)",-6.2
5,-0.6138744265635228,1764581276.1833978,"(2.6351821422576904, 2.7681527137756348, 0.24431350827217102, 0.794758141040802)",-10.5
6,-0.3972128642469853,1764581276.3948405,"(1.6574627161026, 7.909036159515381, 0.45548248291015625, 2.1329450607299805)",-16.4
7,-0.252771822702627,1764581276.6159909,"(0.9160263538360596, 13.69914436340332, 0.18443594872951508, 1.5242040157318115)",-21.0
8,-0.3249923434748061,1764581276.835554,"(0.6816583871841431, 13.746622085571289, 0.007992485538125038, 0.9303680658340454)",-23.9
9,-0.3249923434748061,1764581277.0466294,"(0.6741582751274109, 11.404939651489258, 0.07799586653709412, 0.3141728341579437)",-26.8
10,-0.3249923434748061,1764581277.2711318,"(0.44946905970573425, 8.55333137512207, 0.38346433639526367, 0.17762979865074158)",-30.0
11,-0.252771822702627,1764581277.4828975,"(1.033911108970642, 15.144246101379395, 0.959487795829773, 0.1532115638256073)",-33.2
12,-0.252771822702627,1764581277.7017558,"(1.2871663570404053, 12.95277214050293, 2.329744815826416, 0.3374042212963104)",-35.7
13,-0.252771822702627,1764581277.9192102,"(1.092799186706543, 11.046079635620117, 2.856717824935913, 0.39508867263793945)",-38.3
14,-0.18055130193044788,1764581278.1346526,"(1.6735364198684692, 11.126514434814453, 4.765860557556152, 0.5528124570846558)",-40.8
15,-0.18055130193044788,1764581278.3491445,"(2.1116862297058105, 15.32939338684082, 7.231487274169922, 0.4791037440299988)",-42.7
16,-0.03611026038608944,1764581278.5724864,"(2.549055576324463, 11.514666557312012, 9.287239074707031, 0.5299885869026184)",-44.5
17,0.036110260386089665,1764581278.7888155,"(2.605029582977295, 7.521146774291992, 8.908998489379883, 0.8614515066146851)",-45.5
18,0.036110260386089665,1764581279.0039134,"(2.292069911956787, 9.631035804748535, 10.330982208251953, 0.8020004034042358)",-46.0
19,0.036110260386089665,1764581279.215061,"(2.806946277618408, 8.733657836914062, 11.259286880493164, 0.6792781949043274)",-46.2
20,-0.03611026038608944,1764581279.4354937,"(1.780672550201416, 9.729448318481445, 8.48000717163086, 0.5434067249298096)",-45.8
21,-0.10833078115826866,1764581279.6565845,"(2.065599203109741, 10.094645500183105, 7.523129940032959, 0.2437971532344818)",-45.4
22,-0.10833078115826866,1764581279.8682268,"(1.8406617641448975, 10.918912887573242, 7.942055702209473, 0.23865824937820435)",-45.6
23,-0.03611026038608944,1764581280.0878491,"(1.3627336025238037, 8.507558822631836, 7.354216575622559, 0.2754846215248108)",-46.7
24,-0.03611026038608944,1764581280.3000193,"(1.5099256038665771, 8.175742149353027, 7.571053981781006, 0.2891194820404053)",-47.3
25,-0.03611026038608944,1764581280.5206492,"(1.670279860496521, 8.647235870361328, 8.878446578979492, 0.3526076078414917)",-47.8
26,0.036110260386089665,1764581280.741935,"(1.9406476020812988, 8.554308891296387, 9.251642227172852, 0.3877078890800476)",-48.2
